[388702    853355]
[302271    456206]
[324331    496721]
[211080    330547]
[299227    464586]
[314978    473467]
[359277    542515]
[309457    468241]
[299647    460476]
[307990    472006]
[311035    463116]
[300259    466744]
[311306    472450]
[302232    468550]
[302810    471832]
[301095    481719]
[285873    432659]
[307476    482122]
[305860    471669]
[301981    463814]
[321018    494943]
[325807    489992]
[301724    482990]
[305338    463659]
[305398    456976]
[317195    483920]
[278949    444132]
[247959    372004]
[301718    468333]
[314277    480288]
[264221    401904]
[292543    468559]
[302818    466653]
[302569    455649]
[301977    469492]
[281543    446191]
[309190    463094]
[300865    466992]
[295754    460165]
[301898    467169]
[294903    451549]
[299351    475862]
[264798    425704]
[312381    480310]
[311989    474358]
[310749    487996]
[300598    466086]
[320666    493689]
[297571    466687]
[323007    489939]
[282124    437396]
[280587    439375]
[300906    465270]
[306118    467787]
[302325    451490]
[299877    467084]
[304835    467740]
[304255    479517]
[302695    462809]
[303274    467684]
[274271    436620]
[301589    457379]
[286452    440418]
[261847    409501]
[302394    466491]
[299421    468867]
[300553    475975]
[263067    399854]
[283804    444856]
[303161    466808]
[355547    552469]
[302745    466642]
[306539    464740]
[303418    470191]
[299265    456316]
[308503    471717]
[295732    467480]
[290687    464257]
[302412    467255]
[303421    453578]
[298482    472971]
[291330    459101]
[303358    465484]
[294055    462481]
[303592    466202]
[301105    469575]
[284023    445529]
[302567    452768]
[301802    477816]
[293220    467979]
[201463    306133]
[285106    450168]
[288456    463092]
[307755    466830]
[305592    488363]
[293528    468419]
[273959    436147]
[305594    485190]
[297338    464817]
[345034    520760]
[298858    469979]
[301300    451612]
[298122    459285]
[299799    464162]
[298020    461247]
[311980    489001]
[303076    467888]
[316818    481860]
[301986    469614]
[303537    460273]
[302581    460114]
[294501    440610]
[312940    472015]
[301441    475850]
[304243    453004]
[299180    460667]
[265702    417167]
[277318    424240]
[302556    465695]
[301334    470777]
[317728    487651]
[258915    416872]
[302246    467715]
[295666    467131]
[281520    451648]
[313982    467935]
[299843    469231]
[304801    464973]
[304166    469615]
[348011    520212]
[287878    443449]
[296144    467737]
[268583    428844]
[294979    460876]
[302140    467036]
[298745    464084]
[302303    469688]
[294932    462371]
[324214    506808]
[301824    468800]
[308736    469945]
[306725    467459]
[302608    467094]
[335859    504479]
[306583    466708]
[307843    458481]
[329247    521002]
[315924    496418]
[324603    484798]
[282851    437393]
[298930    477167]
[299870    465798]
[273200    425098]
[306086    465044]
[300786    479710]
[323639    484003]
[283998    427380]
[296145    445532]
[310099    468279]
[315078    473125]
[304926    474183]
[620426    782049]
[569986    735283]
[606914    727312]
[540968    707506]
[603436    776364]
[520694    709182]
[575437    729460]
[553948    717918]
[668302    772847]
[584599    887469]
[586777    717506]
[625499    806492]
[572616    799804]
[623086    777344]
[603443    773602]
[666684    762429]
[546024    757888]
[598619    776307]
[579711    777956]
[599436    777991]
[604699    769657]
[592940    772041]
[651436    779402]
[481832    673918]
[558389    796826]
[655042    831333]
[668918    687473]
[605621    799047]
[661332    825231]
[646138    799343]
[635262    793954]
[605360    748001]
[615273    769656]
[591018    769500]
[539642    783549]
[577575    845487]
[560658    753025]
[636476    773495]
[621999    750930]
[598907    793792]
[623024    782848]
[609521    729210]
[603969    770526]
[607170    759788]
[684844    790304]
[575952    758782]
[596838    673213]
[617099    826590]
[575202    760716]
[589717    776528]
[621167    719091]
[519162    693075]
[574058    670564]
[582824    728821]
[619072    712754]
[519241    710202]
[613304    755125]
[602049    784031]
[549332    756403]
[642353    762144]
[522216    707434]
[642099    800475]
[700249    794205]
[605390    758202]
[622999    808139]
[572289    760263]
[594969    749794]
[579886    766862]
[621449    850244]
[650888    919194]
[649153    799300]
[575102    782696]
[603917    769625]
[621254    604624]
[614548    774384]
[624467    726212]
[599197    798690]
[611507    809966]
[610503    791933]
[653893    763630]
[621834    792774]
[632236    779506]
[583715    813414]
[579903    758123]
[540388    798982]
[597649    727191]
[554645    861795]
[549894    761775]
[608021    769876]
[663252    808434]
[593060    770446]
[625490    801096]
[547686    759495]
[522425    795908]
[683284    779170]
[609936    718104]
[654474    787382]
[625817    640833]
[586549    713343]
[616658    921670]
[573470    770072]
[576132    705393]
[604481    836313]
[576751    783733]
[667692    845928]
[600943    765397]
[602011    712813]
[604939    828925]
[623959    800463]
[636483    678390]
[723920    850744]
[581846    640696]
[650089    676996]
[576578    752588]
[554494    817515]
[602317    766823]
[613913    701286]
[620989    734549]
[604367    737948]
[604615    770000]
[579493    828004]
[603504    764811]
[610403    784034]
[657175    722558]
[590308    771445]
[663805    697745]
[607828    749927]
[593064    843485]
[583388    763518]
[605701    729631]
[605684    789488]
[660412    810228]
[652944    752248]
[475492    582878]
[567586    611822]
[585647    794452]
[576231    842682]
[565579    889435]
[616790    771970]
[561306    836308]
[577346    810403]
[603366    768429]
[598984    756285]
[602600    675441]
[651625    785292]
[587866    895162]
[588360    775423]
[600642    772752]
[552992    741422]
[584389    773426]
[546434    717759]
[703047    822565]
